‹‹domain,subdomain,indicator,paper
chemical,chemical.airpollution,"Air pollution linked to Alzheimer’s, Parkinson’s, COPD",miller2025-integrating-exposomics
chemical,chemical.airpollution,"Indoor air pollution (NO2, benzene, toluene, xylenes)",guimbaud2024-helix-ecrs
chemical,chemical.airpollution,"Outdoor pollutants (PM2.5, NO2, ultrafine particles)",guimbaud2024-helix-ecrs
chemical,chemical.airpollution,"Urban air quality (PM, NO2, transport-related exposures)",fayet2024-exposome-practice
chemical,chemical.airpollution.ambient,Air pollution (measured via geospatial + exposomics),chriswild2025-exposome-at-twenty
chemical,chemical.airpollution.ambient,"Arylamines (hemoglobin adducts, bladder cancer)",chriswild2005-complementing-genome-exposome
chemical,chemical.airpollution.ambient,"Indoor benzene, toluene, ethylbenzene, xylenes",maitre2022-helix-multiomics
chemical,chemical.airpollution.ambient,"PM2.5, PM10, NO2, PM2.5 absorbance",maitre2022-helix-multiomics
chemical,chemical.airpollution.ambient,"Polycyclic aromatic hydrocarbons (DNA adducts, lung cancer)",chriswild2005-complementing-genome-exposome
chemical,chemical.chemicals,"Industrial toxicants, pesticides, microplastics",eu2025-human-exposome-report
chemical,chemical.chemicals,Mixtures of regulated & unregulated chemicals,eu2025-human-exposome-report
chemical,chemical.exposome,"Environmental exposures (dietary nutrients, drugs, pollutants, infectious agents)",patel2016-gxe-complexity
chemical,chemical.exposures,"Air pollutants, metals, pesticides, plasticizers, PFAS",baccarelli2023-precision-environmental-health
chemical,chemical.exposures,"Environmental pollutants, tobacco, diet",santos2020-birthcohorts
chemical,chemical.industrial,Chlorinated metabolites linked to renal carcinoma,miller2025-integrating-exposomics
chemical,chemical.industrial,Industrial chemicals linked to cancer,miller2025-integrating-exposomics
chemical,chemical.industrial,Pesticides linked to bile duct disorder,miller2025-integrating-exposomics
chemical,chemical.metals,(none),chung2018-toward-capturing-exposome
chemical,chemical.metals,"Cadmium, Molybdenum, Copper, Caesium",maitre2022-helix-multiomics
chemical,chemical.metals,Cancer etiology markers,chriswild2025-exposome-at-twenty
chemical,chemical.metals,Exposome concept,chriswild2005-complementing-genome-exposome
chemical,chemical.metals,Exposome rationale,chriswild2025-exposome-at-twenty
chemical,chemical.metals,Gene–environment interaction,chriswild2005-complementing-genome-exposome
chemical,chemical.metals,"Lead, Cadmium, Arsenic, Mercury, Manganese, Cobalt, Copper, Molybdenum, Cesium, Thallium",agier2020-pregnancy-exposome
chemical,chemical.metals,"Lead, Cadmium, Mercury, Manganese, Chromium, Beryllium, Cobalt, Molybdenum, Tin, Cesium, Barium, Nickel, Copper, Zinc, Tungsten, Platinum, Thallium, Uranium",guimbaud2024-helix-ecrs
